grouping,group_key,room_type,class_name,grid,sigma,augmentation,method_a,method_b,n_a,n_b,n_a_augmented,n_b_augmented,tv_distance,l1_percent_points,js_divergence,js_distance,hellinger_distance,cosine_distance,pearson_corr,sliced_wasserstein,centroid_a_x,centroid_a_y,centroid_b_x,centroid_b_y,centroid_shift,max_abs_diff_pp,mean_abs_diff_pp,positive_mass_pp,negative_mass_pp
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,cube,7290,1085,43740,6510,0.6057174160435186,121.14348320870371,0.3754641275369761,0.6127512770586252,0.5373657027364587,0.6422505161271899,-0.11148367809918519,0.09836372491215797,0.49999999999999994,0.5,0.5,0.5,5.551115123125783e-17,1.042446830294753,0.3028587080217593,60.57174160435186,-60.57174160435186
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,infinigen,7290,450,43740,2700,0.4290397248578966,85.80794497157932,0.17440155905491544,0.417614126981973,0.35406063965917,0.3007875624881313,0.45085018372047997,0.06460731168673123,0.49999999999999994,0.5,0.5000749873804975,0.5000374936902487,8.383844012356805e-05,0.8685856714521998,0.2145198624289483,42.90397248578966,-42.903972485789666
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,ollama_llm,7290,235,43740,1410,0.5071840561715952,101.43681123431907,0.257463628809475,0.5074087393901242,0.4363736858160689,0.4558463881702123,0.2215109174822684,0.06893195773078067,0.49999999999999994,0.5,0.5070742459989052,0.5045496426143423,0.00841095739920647,0.9650958702274675,0.25359202808579767,50.71840561715953,-50.71840561715952
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,random,7290,60,43740,360,0.6167576680423745,123.35153360847494,0.3958306981153952,0.629150775343554,0.5589188032766549,0.6527831913551103,-0.10335279036949731,0.09666475422754442,0.49999999999999994,0.5,0.5,0.49999999999999994,7.850462293418876e-17,1.0650321309298227,0.3083788340211873,61.67576680423746,-61.67576680423746
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,relaxed,7290,91,43740,546,0.5668332577741888,113.36665155483774,0.3095918557608064,0.5564097912157966,0.47981523351221533,0.5336173522719476,0.16162532266430268,0.07775787777598428,0.49999999999999994,0.5,0.5,0.5,5.551115123125783e-17,1.2806332966032885,0.28341662888709435,56.68332577741887,-56.68332577741887
class,__all____bed,__all__,bed,20,1.25,rot90_flip,3dfront,retrieval,7290,168,43740,1008,0.22811976771182702,45.62395354236541,0.06634940998669342,0.2575837921661482,0.22336109996166165,0.10449700436683262,0.8402405071924268,0.01701969140760541,0.49999999999999994,0.5,0.49999999999999994,0.5,0.0,0.726831602202248,0.11405988385591354,22.811976771182707,-22.8119767711827
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,cube,3868,1151,23208,6906,0.24767138442905248,49.5342768858105,0.06093823595867038,0.24685671139077905,0.20698539646414735,0.13168273329951108,0.7557962541729516,0.03428462295335947,0.5000153949423018,0.5000111548887712,0.5000049320826446,0.49995535492213833,5.6772420315152845e-05,0.6611362339239336,0.12383569221452624,24.767138442905253,-24.767138442905242
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,diffuscene,3868,674,23208,4044,0.6232258371447161,124.64516742894322,0.3940819770205811,0.6277594897893469,0.5608154372452567,0.6166895075641088,-0.8091165425421164,0.11511187410442425,0.5000153949423018,0.5000111548887712,0.5,0.5,1.901146475093214e-05,0.9580345499265961,0.31161291857235807,62.322583714471605,-62.322583714471605
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,infinigen,3868,3950,23208,23700,0.16062256221704885,32.12451244340977,0.033087131394136354,0.18189868442112592,0.1533792253975872,0.0557472437169354,0.8108899821263964,0.012562847607390184,0.5000153949423018,0.5000111548887712,0.5000000000000001,0.5000000000000001,1.9011464750777096e-05,0.27010073655296407,0.08031128110852442,16.062256221704896,-16.06225622170487
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,ollama_llm,3868,76,23208,456,0.3644504091732273,72.89008183464546,0.1332462992414491,0.36502917587701,0.30929989854436885,0.28991062063137574,-0.2013763634239285,0.06285682722714761,0.5000153949423018,0.5000111548887712,0.504411905350072,0.5061892874139324,0.007582784796107931,0.7024825803162047,0.18222520458661365,36.44504091732273,-36.445040917322714
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,relaxed,3868,174,23208,1044,0.46359911582077235,92.71982316415449,0.21907595543590452,0.4680555046529252,0.41185942291954064,0.2673364871480992,0.6846931379248666,0.07218362761101979,0.5000153949423018,0.5000111548887712,0.5002998369509153,0.4996841592683705,0.00043339749886830726,1.2852053820565819,0.23179955791038623,46.35991158207726,-46.35991158207723
class,__all____cabinet,__all__,cabinet,20,1.25,rot90_flip,3dfront,retrieval,3868,756,23208,4536,0.36948330251734374,73.89666050346874,0.16789637513864478,0.40975160175238456,0.35444579308038643,0.3392354236355142,-0.05978677452196055,0.05890928429648053,0.5000153949423018,0.5000111548887712,0.5,0.5,1.901146475093214e-05,0.9517988272744231,0.18474165125867184,36.94833025173436,-36.94833025173436
class,__all____chair,__all__,chair,20,1.25,rot90_flip,3dfront,cube,13461,480,80766,2880,0.21459375104081996,42.91875020816399,0.049429558124244335,0.22232759190942616,0.1863561752893846,0.11119031249176159,0.6186424411498246,0.04113440504106754,0.5000010112822335,0.5000004634458749,0.5,0.5,1.112418012607061e-06,0.4632603410611481,0.10729687552040998,21.459375104081996,-21.459375104081992
